Metric,F1A: Unique IDs. ,F1B: Persistent IDs,F2A: Structured metadata,A1.1: Open resolution protocol,A1.2: Authorisation procedure or access rights,I1: Machine readable format,I2: Use shared ontologies,I3: External links,R1.1: Metadata includes license,R1.2: Metadata includes provenance
https://doi.org/10.34894/O12KME,2 of 2,2 of 2,1 of 2,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2,2 of 2
https://doi.org/10.34894/CGQ4J1,2 of 2,2 of 2,1 of 2,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2,2 of 2
https://doi.org/10.34894/PPUJZB,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2
https://doi.org/10.34894/XAJ12C,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2
https://doi.org/10.34894/OP20NM,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2
https://doi.org/10.34894/RI0KGV,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2
https://doi.org/10.34894/UFFFNO,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2
https://doi.org/10.34894/K5BYMN,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2
https://doi.org/10.34894/MD59SC,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2
https://doi.org/10.34894/SIAUPO,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2
https://doi.org/10.34894/GDEPNF,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2
https://doi.org/10.34894/IQ0YMT,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2
https://doi.org/10.34894/PAHO7Q,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2
https://doi.org/10.34894/K7IVEW,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2
https://doi.org/10.34894/50ZYWS,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2
https://doi.org/10.34894/5PZPPK,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2
https://doi.org/10.34894/SRDMFU,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2
https://doi.org/10.34894/UFGGCY,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2,1 of 2,1 of 2,2 of 2,2 of 2
