Metric,F1A: Unique IDs. ,F1B: Persistent IDs,F2A: Structured metadata,A1.1: Open resolution protocol,A1.2: Authorisation procedure or access rights,I1: Machine readable format,I2: Use shared ontologies,I3: External links,R1.1: Metadata includes license,R1.2: Metadata includes provenance
https://doi.org/10.34894/O12KME,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0
https://doi.org/10.34894/CGQ4J1,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0
https://doi.org/10.34894/PPUJZB,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0
https://doi.org/10.34894/XAJ12C,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0
https://doi.org/10.34894/OP20NM,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0
https://doi.org/10.34894/RI0KGV,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0
https://doi.org/10.34894/UFFFNO,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0
https://doi.org/10.34894/K5BYMN,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0
https://doi.org/10.34894/MD59SC,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0
https://doi.org/10.34894/SIAUPO,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0
https://doi.org/10.34894/GDEPNF,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0
https://doi.org/10.34894/IQ0YMT,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0
https://doi.org/10.34894/PAHO7Q,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0
https://doi.org/10.34894/K7IVEW,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0
https://doi.org/10.34894/50ZYWS,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0
https://doi.org/10.34894/5PZPPK,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0
https://doi.org/10.34894/SRDMFU,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0
https://doi.org/10.34894/UFGGCY,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0
