Row,Source URL 1,Source URL 2,Final Landing 1,Final Landing 2,Error Log,Redirects to Same Place,Valid Dataverse Prefix (URL 1),Valid Dataverse Prefix (URL 2),Result
1,https://doi.org/10.34894/O12KME,https://hdl.handle.net/10622/OHM48J,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/O12KME,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/O12KME,None,True,True,True,Correct
2,https://doi.org/10.34894/CGQ4J1,https://hdl.handle.net/10622/DTQKI6,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/CGQ4J1,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/CGQ4J1,None,True,True,True,Correct
3,https://doi.org/10.34894/PPUJZB,https://hdl.handle.net/10622/MMAYDK,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/PPUJZB,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/PPUJZB,None,True,True,True,Correct
4,https://doi.org/10.34894/XAJ12C,https://hdl.handle.net/10622/XMCZLZ,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/XAJ12C,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/XAJ12C,None,True,True,True,Correct
5,https://doi.org/10.34894/OP20NM,https://hdl.handle.net/10622/LVOQTG,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/OP20NM,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/OP20NM,None,True,True,True,Correct
6,https://doi.org/10.34894/RI0KGV,https://hdl.handle.net/10622/5LRS03,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/RI0KGV,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/RI0KGV,None,True,True,True,Correct
7,https://doi.org/10.34894/UFFFNO,https://hdl.handle.net/10622/WYVERW,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/UFFFNO,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/UFFFNO,None,True,True,True,Correct
8,https://doi.org/10.34894/K5BYMN,https://hdl.handle.net/10622/XDI7DD,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/K5BYMN,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/K5BYMN,None,True,True,True,Correct
9,https://doi.org/10.34894/MD59SC,https://hdl.handle.net/10622/DITM0Z,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/MD59SC,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/MD59SC,None,True,True,True,Correct
10,https://doi.org/10.34894/SIAUPO,https://hdl.handle.net/10622/SOS0KC,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/SIAUPO,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/SIAUPO,None,True,True,True,Correct
11,https://doi.org/10.34894/GDEPNF,https://hdl.handle.net/10622/MDNVH5,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/GDEPNF,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/GDEPNF,None,True,True,True,Correct
12,https://doi.org/10.34894/IQ0YMT,https://hdl.handle.net/10622/QJZKZ2,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/IQ0YMT,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/IQ0YMT,None,True,True,True,Correct
13,https://doi.org/10.34894/PAHO7Q,https://hdl.handle.net/10622/75DURG,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/PAHO7Q,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/PAHO7Q,None,True,True,True,Correct
14,https://doi.org/10.34894/K7IVEW,https://hdl.handle.net/10622/JCTCJ2,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/K7IVEW,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/K7IVEW,None,True,True,True,Correct
15,https://doi.org/10.34894/50ZYWS,https://hdl.handle.net/10622/LVXSBW,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/50ZYWS,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/50ZYWS,None,True,True,True,Correct
16,https://doi.org/10.34894/5PZPPK,https://hdl.handle.net/10622/YAWDOV,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/5PZPPK,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/5PZPPK,None,True,True,True,Correct
17,https://doi.org/10.34894/SRDMFU,https://hdl.handle.net/10622/BHKMWE,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/SRDMFU,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/SRDMFU,None,True,True,True,Correct
18,https://doi.org/10.34894/E4CGBF,https://hdl.handle.net/10622/DMAS2T,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/E4CGBF,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/E4CGBF,None,True,True,True,Correct
19,https://doi.org/10.34894/IQ0YMT,https://hdl.handle.net/10622/X2JZYY,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/IQ0YMT,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/HHM4TE,None,False,True,True,Mismatch
20,https://doi.org/10.34894/JPS8TB,https://hdl.handle.net/10622/VMSCBR,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/JPS8TB,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/JPS8TB,None,True,True,True,Correct
21,https://doi.org/10.34894/UFGGCY,https://hdl.handle.net/10622/PEKT40,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/UFGGCY,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/UFGGCY,None,True,True,True,Correct
22,https://doi.org/10.34894/CBO80N,https://hdl.handle.net/10622/V3XJIR,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/CBO80N,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/CBO80N,None,True,True,True,Correct
23,https://doi.org/10.34894/3Q0DLH,https://hdl.handle.net/10622/IWJMHH,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/3Q0DLH,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/3Q0DLH,None,True,True,True,Correct
